conference	team	scoredPoints	allowedPoints
East	Boston Celtics	108.0	105.4
East	Cleveland Cavaliers	110.3	107.2
East	Toronto Raptors	106.9	102.6
East	Washington Wizards	109.2	107.4
East	Atlanta Hawks	103.2	104.0
East	Milwaukee Bucks	103.6	103.8
East	Indiana Pacers	105.1	105.3
East	Chicago Bulls	102.9	102.4
East	Miami Heat	103.2	102.1
East	Detroit Pistons	101.3	102.5
East	Charlotte Hornets	104.9	104.7
East	New York Knicks	104.3	108.0
East	Orlando Magic	101.1	107.6
East	Philadelphia 76ers	102.4	108.1
East	Brooklyn Nets	105.8	112.5
West	Golden State Warriors	115.9	104.3
West	San Antonio Spurs	105.3	98.1
West	Houston Rockets	115.3	109.6
West	Los Angeles Clippers	108.7	104.4
West	Utah Jazz	100.7	96.8
West	Oklahoma City Thunder	106.6	105.8
West	Memphis Grizzlies	100.5	100.0
West	Portland Trail Blazers	107.9	108.5
West	Denver Nuggets	111.7	111.2
West	New Orleans Pelicans	104.3	106.4
West	Dallas Mavericks	97.9	100.8
West	Sacramento Kings	102.8	106.7
West	Minnesota Timberwolves	105.6	106.7
West	Los Angeles Lakers	104.6	111.5
West	Phoenix Suns	107.7	113.3	